id	trigger_event	title_template	message_template
60	attachment_added	{{tipe_item}} Baru: {{serial_number}}	{{tipe_item}} baru dengan SN {{serial_number}} telah ditambahkan
61	attachment_attached	{{tipe_item}} Dipasang: {{no_unit}}	{{tipe_item}} ({{attachment_info}}) telah dipasang ke unit {{no_unit}}
65	attachment_broken	{{tipe_item}} RUSAK: {{serial_number}}	URGENT! {{tipe_item}} {{serial_number}} dilaporkan RUSAK
62	attachment_detached	{{tipe_item}} Dilepas: {{no_unit}}	{{tipe_item}} ({{attachment_info}}) telah dilepas dari unit {{no_unit}}
64	attachment_maintenance	{{tipe_item}} Maintenance: {{serial_number}}	{{tipe_item}} {{serial_number}} masuk maintenance
63	attachment_swapped	{{tipe_item}} Swap: {{from_unit_number}} ? {{to_unit_number}}	{{tipe_item}} ({{attachment_info}}) di-swap dari unit {{from_unit_number}} ke unit {{to_unit_number}}. Alasan: {{reason}}
138	budget_threshold_exceeded	Alert Budget: {{budget_name}}	PERINGATAN: Budget "{{budget_name}}" ({{department}}) melebihi {{threshold}}% threshold. Alokasi: Rp {{allocated_amount}}. Terpakai: Rp {{spent_amount}} ({{percentage_used}}%)
125	contract_created	Kontrak Baru: {{contract_number}}	Kontrak {{contract_number}} telah dibuat untuk {{customer_name}} dengan nilai {{total_amount}}
31	customer_contract_created	Kontrak Baru: {{contract_number}}	Kontrak baru {{contract_number}} telah dibuat untuk {{customer_name}}
32	customer_contract_expired	Peringatan Kontrak Expired: {{contract_number}}	Kontrak {{contract_number}} untuk {{customer_name}} akan expired dalam {{days}} hari
126	customer_created	Customer Baru: {{customer_name}}	Customer baru {{customer_name}} telah ditambahkan. CP: {{contact_person}}, Phone: {{phone}}
29	customer_deleted	Customer Dihapus: {{customer_name}}	Customer {{customer_name}} telah dihapus dari sistem
30	customer_location_added	Lokasi Baru: {{customer_name}}	Lokasi baru "{{location_name}}" telah ditambahkan untuk customer {{customer_name}}
128	customer_status_changed	Status Customer Berubah: {{customer_name}}	Status customer {{customer_name}} ({{customer_code}}) berubah dari {{old_status}} ke {{new_status}}. Alasan: {{reason}}. Oleh: {{changed_by}}
28	customer_updated	Customer Diupdate: {{customer_name}}	Data customer {{customer_name}} telah diperbarui
83	delivery_arrived	Delivery Sampai: {{nomor_delivery}}	Delivery {{nomor_delivery}} telah sampai di lokasi {{customer}}
81	delivery_assigned	Delivery Assigned: {{nomor_delivery}}	Delivery {{nomor_delivery}} telah di-assign kepada Anda
84	delivery_completed	Delivery Selesai: {{nomor_delivery}}	Delivery {{nomor_delivery}} telah selesai untuk {{customer}}
80	delivery_created	Delivery Baru: {{nomor_delivery}}	Delivery {{nomor_delivery}} telah dibuat untuk {{customer}}
85	delivery_delayed	Delivery TERLAMBAT: {{nomor_delivery}}	URGENT! Delivery {{nomor_delivery}} mengalami keterlambatan
82	delivery_in_transit	Delivery Dalam Perjalanan: {{nomor_delivery}}	Delivery {{nomor_delivery}} sedang dalam perjalanan ke {{customer}}
108	delivery_status_changed	Status Surat Jalan Berubah	Status Surat Jalan {{delivery_number}} berubah dari {{old_status}} menjadi {{new_status}}. PO: {{po_number}}. Supplier: {{supplier_name}}. Diubah oleh: {{updated_by}} pada {{updated_at}}
34	di_approved	DI Disetujui: {{nomor_di}}	DI {{nomor_di}} telah disetujui dan siap diproses
